         EPS      Labmda       Sigma       Omega          HI       LOS:      TIMELOS     IterLOS         LU:      TIMELU
       1e-09      800000       10000      0.0001       1e-11       LOS:     0.011239           0         LU:    0.600373
       1e-09      800000       10000      0.0001       1e-10       LOS:     0.011134           0         LU:    0.608884
       1e-09      800000       10000           1    8.81e-12       LOS:     0.010389           0         LU:    0.635076
       1e-09      800000       10000           1       1e-11       LOS:       0.0112           0         LU:    0.610897
       1e-09      800000       10000           1       1e-10       LOS:     0.011928           0         LU:    0.607535
       1e-09      800000       10000       10000    8.81e-12       LOS:     0.010604           0         LU:    0.628086
       1e-09      800000       10000       10000       1e-11       LOS:      0.01113           0         LU:    0.609736
       1e-09      800000       10000       10000       1e-10       LOS:     0.011573           0         LU:    0.607487
       1e-09      800000       10000       1e+09    8.81e-12       LOS:     0.010652           0         LU:    0.625137
       1e-09      800000       10000       1e+09       1e-11       LOS:     0.012628           0         LU:    0.602535
       1e-09      800000       10000       1e+09       1e-10       LOS:     0.012204           0         LU:    0.600182
       1e-09      800000       1e+08      0.0001    8.81e-12       LOS:     0.010464           0         LU:    0.614315
       1e-09      800000       1e+08      0.0001       1e-11       LOS:     0.010378           0         LU:    0.603088
       1e-09      800000       1e+08      0.0001       1e-10       LOS:     0.012556           0         LU:    0.594186
       1e-09      800000       1e+08           1    8.81e-12       LOS:     0.010475           0         LU:    0.617043
       1e-09      800000       1e+08           1       1e-11       LOS:     0.010152           0         LU:    0.605205
       1e-09      800000       1e+08           1       1e-10       LOS:     0.011041           0         LU:     0.59983
       1e-09      800000       1e+08       10000    8.81e-12       LOS:     0.010833           0         LU:    0.613197
       1e-09      800000       1e+08       10000       1e-11       LOS:     0.010504           0         LU:    0.610445
       1e-09      800000       1e+08       10000       1e-10       LOS:     0.010128           0         LU:    0.610353
       1e-09      800000       1e+08       1e+09    8.81e-12       LOS:     0.015602           1         LU:    0.594746
       1e-09      800000       1e+08       1e+09       1e-11       LOS:     0.015941           1         LU:    0.611599
       1e-09      800000       1e+08       1e+09       1e-10       LOS:     0.014995           1         LU:    0.604654
       1e-14         100           0      0.0001    8.81e-12       LOS:      0.00767           2         LU:    0.589596
       1e-14         100           0      0.0001       1e-11       LOS:     0.006139           2         LU:    0.619571
       1e-14         100           0      0.0001       1e-10       LOS:     0.007532           3         LU:    0.597746
       1e-14         100           0           1    8.81e-12       LOS:     0.006086           2         LU:      0.6014
       1e-14         100           0           1       1e-11       LOS:     0.038781          22         LU:     0.64033
       1e-14         100           0           1       1e-10       LOS:     0.035991          24         LU:    0.599125
       1e-14         100           0       10000    8.81e-12       LOS:     0.034726          22         LU:    0.603634
       1e-14         100           0       10000       1e-11       LOS:     0.028586          18         LU:    0.634913
       1e-14         100           0       10000       1e-10       LOS:     0.035848          19         LU:    0.623731
       1e-14         100           0       1e+09    8.81e-12       LOS:     0.005971           1         LU:    0.591054
       1e-14         100           0       1e+09       1e-11       LOS:     0.003444           0         LU:     0.63883
       1e-14         100           0       1e+09       1e-10       LOS:     0.003334           0         LU:    0.603414
       1e-14         100       10000      0.0001    8.81e-12       LOS:     0.016703           1         LU:    0.598669
       1e-14         100       10000      0.0001       1e-11       LOS:     0.014741           1         LU:    0.601341
       1e-14         100       10000      0.0001       1e-10       LOS:     0.014538           1         LU:    0.595847
       1e-14         100       10000           1    8.81e-12       LOS:      0.01295           0         LU:    0.604561
       1e-14         100       10000           1       1e-11       LOS:     0.010475           0         LU:    0.601378
       1e-14         100       10000           1       1e-10       LOS:     0.011158           0         LU:    0.604467
       1e-14         100       10000       10000    8.81e-12       LOS:     0.016176           1         LU:    0.609663
       1e-14         100       10000       10000       1e-11       LOS:      0.01444           1         LU:    0.596776
       1e-14         100       10000       10000       1e-10       LOS:     0.014136           1         LU:    0.607626
       1e-14         100       10000       1e+09    8.81e-12       LOS:     0.015031           1         LU:    0.612126
       1e-14         100       10000       1e+09       1e-11       LOS:     0.016852           1         LU:      0.6014
       1e-14         100       10000       1e+09       1e-10       LOS:      0.01806           1         LU:    0.610902
       1e-14         100       1e+08      0.0001    8.81e-12       LOS:     0.010293           0         LU:    0.594798
       1e-14         100       1e+08      0.0001       1e-11       LOS:     0.010421           0         LU:    0.599741
       1e-14         100       1e+08      0.0001       1e-10       LOS:     0.010477           0         LU:    0.617966
       1e-14         100       1e+08           1    8.81e-12       LOS:     0.017023           1         LU:    0.595803
       1e-14         100       1e+08           1       1e-11       LOS:     0.016116           1         LU:    0.617216
       1e-14         100       1e+08           1       1e-10       LOS:     0.016512           1         LU:    0.626175
       1e-14         100       1e+08       10000    8.81e-12       LOS:     0.014978           1         LU:    0.606011
       1e-14         100       1e+08       10000       1e-11       LOS:     0.016443           1         LU:    0.596505
       1e-14         100       1e+08       10000       1e-10       LOS:     0.014244           1         LU:    0.641192
       1e-14         100       1e+08       1e+09    8.81e-12       LOS:     0.015525           1         LU:    0.611861
       1e-14         100       1e+08       1e+09       1e-11       LOS:     0.019237           1         LU:    0.608412
       1e-14         100       1e+08       1e+09       1e-10       LOS:     0.014686           1         LU:    0.606978
       1e-14       10000           0      0.0001    8.81e-12       LOS:     0.016343           7         LU:    0.596336
       1e-14       10000           0      0.0001       1e-11       LOS:     0.013456           6         LU:    0.607438
       1e-14       10000           0      0.0001       1e-10       LOS:     0.014181           7         LU:    0.600657
       1e-14       10000           0           1    8.81e-12       LOS:     0.037154          19         LU:    0.596655
       1e-14       10000           0           1       1e-11       LOS:     0.042386          25         LU:    0.604657
       1e-14       10000           0           1       1e-10       LOS:     0.037201          24         LU:    0.595682
       1e-14       10000           0       10000    8.81e-12       LOS:      0.04392          28         LU:    0.591937
       1e-14       10000           0       10000       1e-11       LOS:     0.039277          26         LU:    0.598719
       1e-14       10000           0       10000       1e-10       LOS:     0.039494          26         LU:    0.595935
       1e-14       10000           0       1e+09    8.81e-12       LOS:     0.005654           1         LU:     0.61013
       1e-14       10000           0       1e+09       1e-11       LOS:     0.003067           0         LU:     0.60145
       1e-14       10000           0       1e+09       1e-10       LOS:     0.002821           0         LU:    0.596877
       1e-14       10000       10000      0.0001    8.81e-12       LOS:      0.04885           8         LU:    0.607726
       1e-14       10000       10000      0.0001       1e-11       LOS:     0.045239           8         LU:    0.592913
       1e-14       10000       10000      0.0001       1e-10       LOS:     0.037952           7         LU:    0.607082
       1e-14       10000       10000           1    8.81e-12       LOS:     0.010531           0         LU:    0.616598
       1e-14       10000       10000           1       1e-11       LOS:     0.011094           0         LU:    0.613253
       1e-14       10000       10000           1       1e-10       LOS:     0.010851           0         LU:    0.605114
       1e-14       10000       10000       10000    8.81e-12       LOS:     0.015238           1         LU:     0.63307
       1e-14       10000       10000       10000       1e-11       LOS:     0.015036           1         LU:    0.607193
       1e-14       10000       10000       10000       1e-10       LOS:     0.014831           1         LU:    0.598488
       1e-14       10000       10000       1e+09    8.81e-12       LOS:     0.015015           1         LU:    0.645975
       1e-14       10000       10000       1e+09       1e-11       LOS:     0.015904           1         LU:    0.601008
       1e-14       10000       10000       1e+09       1e-10       LOS:     0.018122           1         LU:    0.596715
       1e-14       10000       1e+08      0.0001    8.81e-12       LOS:      0.01167           0         LU:    0.608637
       1e-14       10000       1e+08      0.0001       1e-11       LOS:     0.010222           0         LU:    0.598789
       1e-14       10000       1e+08      0.0001       1e-10       LOS:     0.011145           0         LU:    0.606081
       1e-14       10000       1e+08           1    8.81e-12       LOS:     0.015653           1         LU:    0.596064
       1e-14       10000       1e+08           1       1e-11       LOS:     0.017186           1         LU:    0.609882
       1e-14       10000       1e+08           1       1e-10       LOS:     0.014505           1         LU:    0.606957
       1e-14       10000       1e+08       10000    8.81e-12       LOS:     0.015304           1         LU:    0.591256
       1e-14       10000       1e+08       10000       1e-11       LOS:     0.014669           1         LU:    0.608647
       1e-14       10000       1e+08       10000       1e-10       LOS:     0.015004           1         LU:    0.595423
       1e-14       10000       1e+08       1e+09    8.81e-12       LOS:     0.015142           1         LU:    0.610554
       1e-14       10000       1e+08       1e+09       1e-11       LOS:      0.01613           1         LU:    0.625523
       1e-14       10000       1e+08       1e+09       1e-10       LOS:      0.01598           1         LU:     0.60131
       1e-14      800000           0      0.0001    8.81e-12       LOS:     0.015506           8         LU:      0.5925
       1e-14      800000           0      0.0001       1e-11       LOS:     0.014733           7         LU:    0.618982
       1e-14      800000           0      0.0001       1e-10       LOS:      0.01397           5         LU:    0.609515
       1e-14      800000           0           1    8.81e-12       LOS:     0.019345          10         LU:    0.594263
       1e-14      800000           0           1       1e-11       LOS:     0.018711          10         LU:    0.631223
       1e-14      800000           0           1       1e-10       LOS:     0.041858          25         LU:    0.602082
       1e-14      800000           0       10000    8.81e-12       LOS:     0.039068          23         LU:    0.595765
       1e-14      800000           0       10000       1e-11       LOS:     0.029521          19         LU:    0.630812
       1e-14      800000           0       10000       1e-10       LOS:     0.041587          28         LU:    0.590531
       1e-14      800000           0       1e+09    8.81e-12       LOS:      14.6404       10000         LU:    0.614951
       1e-14      800000           0       1e+09       1e-11       LOS:      14.6208       10000         LU:     0.59741
       1e-14      800000           0       1e+09       1e-10       LOS:     0.004511           1         LU:    0.599834
       1e-14      800000       10000      0.0001    8.81e-12       LOS:     0.030587           5         LU:     0.59765
       1e-14      800000       10000      0.0001       1e-11       LOS:     0.053083          10         LU:    0.600269
       1e-14      800000       10000      0.0001       1e-10       LOS:     0.038288           7         LU:    0.599932
       1e-14      800000       10000           1    8.81e-12       LOS:      0.01545           1         LU:    0.607244
       1e-14      800000       10000           1       1e-11       LOS:     0.016706           1         LU:    0.606001
       1e-14      800000       10000           1       1e-10       LOS:     0.121295          26         LU:    0.595237
       1e-14      800000       10000       10000    8.81e-12       LOS:     0.015473           1         LU:    0.609778
